ts_code,date,open,high,low,close,pre_close,change_amount,pct_change,volume,amount,daily_return,true_range,typical_price,ma5,ma10,ma20,macd,macd_signal,macd_hist,rsi,ma60,signal_line,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ma20,volume_ratio,price_momentum,price_acceleration,volatility_5d,volatility_20d
600519.SH,2024-10-08,1658.263861,1667.425153,1623.367137,1638.555286,1642.969586,-25.0,-1.4302,95850.09004799993,15023165.564722296,,96.29443199999994,1633.9992673333334,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,
600519.SH,2024-10-09,1658.263861,1667.425153,1590.0,1595.15,1642.969586,-47.105405999999995,-2.98289161,95850.09004799993,15023165.564722296,-0.02648997343627013,96.29443199999994,1628.3833333333332,,,,-3.4625299373219605,-2.039772079772092,-2.7700239498575683,,,-0.6925059874643922,,,,,,,,,,
600519.SH,2024-10-10,1622.26,1667.425153,1591.0,1638.555286,1595.15,44.85,2.8116,74603.42,12198964.035,0.027210786446415725,77.07999999999993,1633.0266666666666,,,,-2.673349324827086,-4.530900950479327,-1.584674669890155,,,-1.088674654936931,,,,,,,,,,
600519.SH,2024-10-11,1615.4,1639.96,1590.0,1604.99,1640.0,-35.01,-2.1348,41914.71,6764982.707,-0.0204846832369866,50.0,1611.6499999999999,,,,-4.702152579141739,-7.722579684503745,-2.890782339363846,,,-1.8113702397778928,,,,,,,,,,
600519.SH,2024-10-14,1613.0,1620.63,1581.17,1601.99,1604.99,-3.0,-0.1869,44812.02,7181350.822,-0.0018691705244269219,39.460000000000036,1601.2633333333333,1615.8481144000002,,,-6.477401253273001,-11.216298354357573,-3.732824810796086,,,-2.744576442476915,,,,70606.06601919998,,0.6346766294529739,,,,
600519.SH,2024-10-15,1599.0,1600.99,1553.01,1554.25,1601.99,-47.105405999999995,-2.98,43571.43,6884141.869,-0.029800435708088102,48.98000000000002,1569.4166666666667,1598.9870572,,,-11.60276814892245,-15.452282903623583,-7.086553365156428,,,-4.5162147837660225,,,,60150.33400959999,,0.7243755287052271,-0.05145098656134084,,0.37433616931796254,
600519.SH,2024-10-16,1540.88,1549.8,1510.0,1522.5,1554.25,-31.75,-2.0428,46664.4,7140169.692,-0.020427859096027068,44.25,1527.4333333333334,1584.4570572,,,-18.0189072478056,-20.402781844460186,-10.802153971231661,,,-7.216753276573939,,,,50313.195999999996,,0.9274783498150267,-0.045544306178102456,0.005906680383238383,0.3600044960009576,
600519.SH,2024-10-17,1537.0,1537.66,1493.41,1494.6,1522.5,-27.9,-1.8325,39459.55,5964778.958,-0.0183251231527094,44.25,1508.5566666666666,1555.666,,,-25.066094208493723,-25.94023736694515,-14.279472745535827,,,-10.786621462957896,,,,43284.422000000006,,0.9116339823135445,-0.08785500692589998,-0.042310700747797525,0.16100366359905857,
600519.SH,2024-10-18,1493.0,1567.84,1478.96,1541.0,1494.6,45.45485999999999,3.033952049999999,68619.3,10418043.492,0.03104509567777347,88.87999999999988,1529.2666666666667,1542.868,,,-26.600316537141225,-30.7558953864539,-12.650956059346662,,,-13.949360477794563,,,,48625.340000000004,,1.4111839629296166,-0.039869407286026726,0.047985599639873255,0.3805205886083939,
600519.SH,2024-10-21,1541.21,1549.97,1521.21,1528.8,1541.0,-12.2,-0.7917,42007.9,6433918.335,-0.007916937053861206,28.75999999999999,1533.3266666666668,1528.23,1572.0390572000001,,-28.472424440929217,-34.99124493153853,-11.618451170507722,,,-16.853973270421495,,,,48064.516,,0.8739898681180935,-0.04568692688468723,-0.005817519598660503,0.37691164610439215,
